"Motion Profile Trajectory generated by MCSF"
maxV(rps),4
maxA(rps/s),10
dist(r),5
ItP(ms),25
T1(ms),400
T2(ms),200
T4(ms),1250
FL1,16
FL2,8
N,50
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
1,0,0,0,0,0,0,25
2,0.025,0.0625,0.0625,0.0555556,0.000694444,2.22222,25
3,0.05,0.125,0.1875,0.138889,0.003125,3.33333,25
4,0.075,0.1875,0.375,0.25,0.00798611,4.44444,25
5,0.1,0.25,0.625,0.388889,0.0159722,5.55556,25
6,0.125,0.3125,0.9375,0.555556,0.0277778,6.66667,25
7,0.15,0.375,1.3125,0.75,0.0440972,7.77778,25
8,0.175,0.4375,1.75,0.972222,0.065625,8.88889,25
9,0.2,0.5,2.25,1.22222,0.0930556,10,25
10,0.225,0.5625,2.75,1.47222,0.126736,10,25
11,0.25,0.625,3.25,1.72222,0.166667,10,25
12,0.275,0.6875,3.75,1.97222,0.212847,10,25
13,0.3,0.75,4.25,2.22222,0.265278,10,25
14,0.325,0.8125,4.75,2.47222,0.323958,10,25
15,0.35,0.875,5.25,2.72222,0.388889,10,25
16,0.375,0.9375,5.75,2.97222,0.460069,10,25
17,0.4,1,6.25,3.22222,0.5375,10,25
18,0.425,1,6.6875,3.41667,0.620486,7.77778,25
19,0.45,1,7.0625,3.58333,0.707986,6.66667,25
20,0.475,1,7.375,3.72222,0.799306,5.55556,25
21,0.5,1,7.625,3.83333,0.89375,4.44444,25
22,0.525,1,7.8125,3.91667,0.990625,3.33333,25
23,0.55,1,7.9375,3.97222,1.08924,2.22222,25
24,0.575,1,8,4,1.18889,1.11111,25
25,0.6,1,8,4,1.28889,0,25
26,0.625,1,8,4,1.38889,0,25
27,0.65,1,8,4,1.48889,0,25
28,0.675,1,8,4,1.58889,0,25
29,0.7,1,8,4,1.68889,0,25
30,0.725,1,8,4,1.78889,0,25
31,0.75,1,8,4,1.88889,0,25
32,0.775,1,8,4,1.98889,0,25
33,0.8,1,8,4,2.08889,0,25
34,0.825,1,8,4,2.18889,0,25
35,0.85,1,8,4,2.28889,0,25
36,0.875,1,8,4,2.38889,0,25
37,0.9,1,8,4,2.48889,0,25
38,0.925,1,8,4,2.58889,0,25
39,0.95,1,8,4,2.68889,0,25
40,0.975,1,8,4,2.78889,0,25
41,1,1,8,4,2.88889,0,25
42,1.025,1,8,4,2.98889,0,25
43,1.05,1,8,4,3.08889,0,25
44,1.075,1,8,4,3.18889,0,25
45,1.1,1,8,4,3.28889,0,25
46,1.125,1,8,4,3.38889,0,25
47,1.15,1,8,4,3.48889,0,25
48,1.175,1,8,4,3.58889,0,25
49,1.2,1,8,4,3.68889,0,25
50,1.225,1,8,4,3.78889,0,25
51,1.25,1,8,4,3.88889,0,25
52,1.275,0.9375,7.9375,3.94444,3.98819,-2.22222,25
53,1.3,0.875,7.8125,3.86111,4.08576,-3.33333,25
54,1.325,0.8125,7.625,3.75,4.1809,-4.44444,25
55,1.35,0.75,7.375,3.61111,4.27292,-5.55556,25
56,1.375,0.6875,7.0625,3.44444,4.36111,-6.66667,25
57,1.4,0.625,6.6875,3.25,4.44479,-7.77778,25
58,1.425,0.5625,6.25,3.02778,4.52326,-8.88889,25
59,1.45,0.5,5.75,2.77778,4.59583,-10,25
60,1.475,0.4375,5.25,2.52778,4.66215,-10,25
61,1.5,0.375,4.75,2.27778,4.72222,-10,25
62,1.525,0.3125,4.25,2.02778,4.77604,-10,25
63,1.55,0.25,3.75,1.77778,4.82361,-10,25
64,1.575,0.1875,3.25,1.52778,4.86493,-10,25
65,1.6,0.125,2.75,1.27778,4.9,-10,25
66,1.625,0.0625,2.25,1.02778,4.92882,-10,25
67,1.65,0,1.75,0.777778,4.95139,-10,25
68,1.675,0,1.3125,0.583333,4.9684,-7.77778,25
69,1.7,0,0.9375,0.416667,4.9809,-6.66667,25
70,1.725,0,0.625,0.277778,4.98958,-5.55556,25
71,1.75,0,0.375,0.166667,4.99514,-4.44444,25
72,1.775,0,0.1875,0.0833333,4.99826,-3.33333,25
73,1.8,0,0.0625,0.0277778,4.99965,-2.22222,25
74,1.825,0,0,0,5,-1.11111,25
