"Motion Profile Trajectory generated by MCSF"
maxV(rps),2855.98
maxA(rps/s),1903.99
dist(r),42839.7
ItP(ms),10
T1(ms),1499
T2(ms),749
T4(ms),14999
FL1,150
FL2,75
N,1499
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
1,0,0,0,0,0,0,10
2,0.01,0.00666667,0.00666667,0.501049,0.00250524,50.1049,10
3,0.02,0.0133333,0.02,1.25262,0.0112736,75.1573,10
4,0.03,0.02,0.04,2.25472,0.0288103,100.21,10
5,0.04,0.0266667,0.0666667,3.50734,0.0576206,125.262,10
6,0.05,0.0333333,0.1,5.01049,0.10021,150.315,10
7,0.06,0.04,0.14,6.76416,0.159083,175.367,10
8,0.07,0.0466667,0.186667,8.76835,0.236746,200.42,10
9,0.08,0.0533333,0.24,11.0231,0.335703,225.472,10
10,0.09,0.06,0.3,13.5283,0.45846,250.524,10
11,0.1,0.0666667,0.366667,16.2841,0.607522,275.577,10
12,0.11,0.0733333,0.44,19.2904,0.785394,300.629,10
13,0.12,0.08,0.52,22.5472,0.994582,325.682,10
14,0.13,0.0866667,0.606667,26.0545,1.23759,350.734,10
15,0.14,0.0933333,0.7,29.8124,1.51693,375.787,10
16,0.15,0.1,0.8,33.8208,1.83509,400.839,10
17,0.16,0.106667,0.906667,38.0797,2.19459,425.891,10
18,0.17,0.113333,1.02,42.5891,2.59794,450.944,10
19,0.18,0.12,1.14,47.3491,3.04763,475.996,10
20,0.19,0.126667,1.26667,52.3596,3.54617,501.049,10
21,0.2,0.133333,1.4,57.6206,4.09607,526.101,10
22,0.21,0.14,1.54,63.1321,4.69984,551.154,10
23,0.22,0.146667,1.68667,68.8942,5.35997,576.206,10
24,0.23,0.153333,1.84,74.9068,6.07897,601.259,10
25,0.24,0.16,2,81.1699,6.85936,626.311,10
26,0.25,0.166667,2.16667,87.6835,7.70362,651.363,10
27,0.26,0.173333,2.34,94.4477,8.61428,676.416,10
28,0.27,0.18,2.52,101.462,9.59383,701.468,10
29,0.28,0.186667,2.70667,108.728,10.6448,726.521,10
30,0.29,0.193333,2.9,116.243,11.7696,751.573,10
31,0.3,0.2,3.1,124.01,12.9709,776.626,10
32,0.31,0.206667,3.30667,132.026,14.2511,801.678,10
33,0.32,0.213333,3.52,140.294,15.6127,826.73,10
34,0.33,0.22,3.74,148.811,17.0582,851.783,10
35,0.34,0.226667,3.96667,157.58,18.5902,876.835,10
36,0.35,0.233333,4.2,166.599,20.2111,901.888,10
37,0.36,0.24,4.44,175.868,21.9234,926.94,10
38,0.37,0.246667,4.68667,185.388,23.7297,951.993,10
39,0.38,0.253333,4.94,195.158,25.6324,977.045,10
40,0.39,0.26,5.2,205.179,27.6341,1002.1,10
41,0.4,0.266667,5.46667,215.451,29.7372,1027.15,10
42,0.41,0.273333,5.74,225.973,31.9444,1052.2,10
43,0.42,0.28,6.02,236.746,34.258,1077.25,10
44,0.43,0.286667,6.30667,247.769,36.6805,1102.31,10
45,0.44,0.293333,6.6,259.042,39.2146,1127.36,10
46,0.45,0.3,6.9,270.566,41.8626,1152.41,10
47,0.46,0.306667,7.20667,282.341,44.6272,1177.46,10
48,0.47,0.313333,7.52,294.366,47.5107,1202.52,10
49,0.48,0.32,7.84,306.642,50.5157,1227.57,10
50,0.49,0.326667,8.16667,319.168,53.6448,1252.62,10
51,0.5,0.333333,8.5,331.945,56.9004,1277.67,10
52,0.51,0.34,8.84,344.972,60.2849,1302.73,10
53,0.52,0.346667,9.18667,358.25,63.801,1327.78,10
54,0.53,0.353333,9.54,371.778,67.4512,1352.83,10
55,0.54,0.36,9.9,385.557,71.2379,1377.88,10
56,0.55,0.366667,10.2667,399.586,75.1636,1402.94,10
57,0.56,0.373333,10.64,413.866,79.2308,1427.99,10
58,0.57,0.38,11.02,428.397,83.4422,1453.04,10
59,0.58,0.386667,11.4067,443.178,87.8,1478.09,10
60,0.59,0.393333,11.8,458.209,92.307,1503.15,10
61,0.6,0.4,12.2,473.491,96.9655,1528.2,10
62,0.61,0.406667,12.6067,489.024,101.778,1553.25,10
63,0.62,0.413333,13.02,504.807,106.747,1578.3,10
64,0.63,0.42,13.44,520.84,111.875,1603.36,10
65,0.64,0.426667,13.8667,537.124,117.165,1628.41,10
66,0.65,0.433333,14.3,553.659,122.619,1653.46,10
67,0.66,0.44,14.74,570.444,128.24,1678.51,10
68,0.67,0.446667,15.1867,587.48,134.029,1703.57,10
