"Motion Profile Trajectory generated by MCSF"
maxV(rps),2244.02
maxA(rps/s),1496.01
dist(r),33660.3
ItP(ms),10
T1(ms),1500
T2(ms),750
T4(ms),15000
FL1,150
FL2,75
N,1500
Step,Time(s),Filter1 sum,Filter2 sum,Vel(RPS),Pos(R),Accel(RPS/S),Dur(ms)
1,0,0,0,0,0,0,10
2,0.01,0.00666667,0.00666667,0.393688,0.00196844,39.3688,10
3,0.02,0.0133333,0.02,0.98422,0.00885798,59.0532,10
4,0.03,0.02,0.04,1.7716,0.0226371,78.7376,10
5,0.04,0.0266667,0.0666667,2.75582,0.0452741,98.422,10
6,0.05,0.0333333,0.1,3.93688,0.0787376,118.106,10
7,0.06,0.04,0.14,5.31479,0.124996,137.791,10
8,0.07,0.0466667,0.186667,6.88954,0.186018,157.475,10
9,0.08,0.0533333,0.24,8.66114,0.263771,177.16,10
10,0.09,0.06,0.3,10.6296,0.360225,196.844,10
11,0.1,0.0666667,0.366667,12.7949,0.477347,216.528,10
12,0.11,0.0733333,0.44,15.157,0.617106,236.213,10
13,0.12,0.08,0.52,17.716,0.781471,255.897,10
14,0.13,0.0866667,0.606667,20.4718,0.97241,275.582,10
15,0.14,0.0933333,0.7,23.4244,1.19189,295.266,10
16,0.15,0.1,0.8,26.5739,1.44188,314.95,10
17,0.16,0.106667,0.906667,29.9203,1.72435,334.635,10
18,0.17,0.113333,1.02,33.4635,2.04127,354.319,10
19,0.18,0.12,1.14,37.2035,2.39461,374.004,10
20,0.19,0.126667,1.26667,41.1404,2.78633,393.688,10
21,0.2,0.133333,1.4,45.2741,3.2184,413.372,10
22,0.21,0.14,1.54,49.6047,3.69279,433.057,10
23,0.22,0.146667,1.68667,54.1321,4.21148,452.741,10
24,0.23,0.153333,1.84,58.8564,4.77642,472.426,10
25,0.24,0.16,2,63.7775,5.38959,492.11,10
26,0.25,0.166667,2.16667,68.8954,6.05295,511.794,10
27,0.26,0.173333,2.34,74.2102,6.76848,531.479,10
28,0.27,0.18,2.52,79.7218,7.53814,551.163,10
29,0.28,0.186667,2.70667,85.4303,8.3639,570.848,10
30,0.29,0.193333,2.9,91.3356,9.24773,590.532,10
31,0.3,0.2,3.1,97.4378,10.1916,610.216,10
32,0.31,0.206667,3.30667,103.737,11.1975,629.901,10
33,0.32,0.213333,3.52,110.233,12.2673,649.585,10
34,0.33,0.22,3.74,116.925,13.4031,669.27,10
35,0.34,0.226667,3.96667,123.815,14.6068,688.954,10
36,0.35,0.233333,4.2,130.901,15.8804,708.639,10
37,0.36,0.24,4.44,138.185,17.2258,728.323,10
38,0.37,0.246667,4.68667,145.665,18.6451,748.007,10
39,0.38,0.253333,4.94,153.342,20.1401,767.692,10
40,0.39,0.26,5.2,161.215,21.7129,787.376,10
41,0.4,0.266667,5.46667,169.286,23.3654,807.061,10
42,0.41,0.273333,5.74,177.553,25.0996,826.745,10
43,0.42,0.28,6.02,186.018,26.9174,846.429,10
44,0.43,0.286667,6.30667,194.679,28.8209,866.114,10
45,0.44,0.293333,6.6,203.537,30.812,885.798,10
46,0.45,0.3,6.9,212.592,32.8926,905.483,10
47,0.46,0.306667,7.20667,221.843,35.0648,925.167,10
48,0.47,0.313333,7.52,231.292,37.3305,944.851,10
49,0.48,0.32,7.84,240.937,39.6916,964.536,10
50,0.49,0.326667,8.16667,250.779,42.1502,984.22,10
51,0.5,0.333333,8.5,260.818,44.7082,1003.9,10
52,0.51,0.34,8.84,271.054,47.3676,1023.59,10
53,0.52,0.346667,9.18667,281.487,50.1303,1043.27,10
54,0.53,0.353333,9.54,292.117,52.9983,1062.96,10
55,0.54,0.36,9.9,302.943,55.9736,1082.64,10
56,0.55,0.366667,10.2667,313.966,59.0581,1102.33,10
57,0.56,0.373333,10.64,325.186,62.2539,1122.01,10
58,0.57,0.38,11.02,336.603,65.5628,1141.7,10
59,0.58,0.386667,11.4067,348.217,68.9869,1161.38,10
60,0.59,0.393333,11.8,360.028,72.5282,1181.06,10
61,0.6,0.4,12.2,372.035,76.1885,1200.75,10
62,0.61,0.406667,12.6067,384.24,79.9699,1220.43,10
63,0.62,0.413333,13.02,396.641,83.8743,1240.12,10
64,0.63,0.42,13.44,409.239,87.9037,1259.8,10
65,0.64,0.426667,13.8667,422.034,92.06,1279.49,10
66,0.65,0.433333,14.3,435.025,96.3453,1299.17,10
67,0.66,0.44,14.74,448.214,100.762,1318.86,10
68,0.67,0.446667,15.1867,461.599,105.311,1338.54,10
69,0.68,0.453333,15.64,475.181,109.994,1358.22,10
70,0.69,0.46,16.1,488.961,114.815,1377.91,10
71,0.7,0.466667,16.5667,502.937,119.775,1397.59,10
72,0.71,0.473333,17.04,517.109,124.875,1417.28,10
73,0.72,0.48,17.52,531.479,130.118,1436.96,10
74,0.73,0.486667,18.0067,546.045,135.505,1456.65,10
75,0.74,0.493333,18.5,560.809,141.04,1476.33,10
76,0.75,0.5,19,575.769,146.723,1496.01,10
77,0.76,0.506667,19.5,590.729,152.555,1496.01,10
78,0.77,0.513333,20,605.689,158.537,1496.01,10
79,0.78,0.52,20.5,620.649,164.669,1496.01,10
80,0.79,0.526667,21,635.609,170.95,1496.01,10
81,0.8,0.533333,21.5,650.57,177.381,1496.01,10
82,0.81,0.54,22,665.53,183.962,1496.01,10
83,0.82,0.546667,22.5,680.49,190.692,1496.01,10
84,0.83,0.553333,23,695.45,197.571,1496.01,10
85,0.84,0.56,23.5,710.41,204.601,1496.01,10
86,0.85,0.566667,24,725.37,211.78,1496.01,10
87,0.86,0.573333,24.5,740.33,219.108,1496.01,10
88,0.87,0.58,25,755.291,226.586,1496.01,10
89,0.88,0.586667,25.5,770.251,234.214,1496.01,10
90,0.89,0.593333,26,785.211,241.991,1496.01,10
91,0.9,0.6,26.5,800.171,249.918,1496.01,10
92,0.91,0.606667,27,815.131,257.995,1496.01,10
93,0.92,0.613333,27.5,830.091,266.221,1496.01,10
94,0.93,0.62,28,845.051,274.596,1496.01,10
95,0.94,0.626667,28.5,860.012,283.122,1496.01,10
96,0.95,0.633333,29,874.972,291.797,1496.01,10
97,0.96,0.64,29.5,889.932,300.621,1496.01,10
98,0.97,0.646667,30,904.892,309.595,1496.01,10
99,0.98,0.653333,30.5,919.852,318.719,1496.01,10
100,0.99,0.66,31,934.812,327.992,1496.01,10
101,1,0.666667,31.5,949.772,337.415,1496.01,10
102,1.01,0.673333,32,964.733,346.988,1496.01,10
103,1.02,0.68,32.5,979.693,356.71,1496.01,10
104,1.03,0.686667,33,994.653,366.582,1496.01,10
105,1.04,0.693333,33.5,1009.61,376.603,1496.01,10
106,1.05,0.7,34,1024.57,386.774,1496.01,10
107,1.06,0.706667,34.5,1039.53,397.094,1496.01,10
108,1.07,0.713333,35,1054.49,407.565,1496.01,10
109,1.08,0.72,35.5,1069.45,418.184,1496.01,10
110,1.09,0.726667,36,1084.41,428.954,1496.01,10
111,1.1,0.733333,36.5,1099.37,439.873,1496.01,10
112,1.11,0.74,37,1114.33,450.941,1496.01,10
113,1.12,0.746667,37.5,1129.29,462.159,1496.01,10
114,1.13,0.753333,38,1144.25,473.527,1496.01,10
115,1.14,0.76,38.5,1159.21,485.044,1496.01,10
116,1.15,0.766667,39,1174.17,496.711,1496.01,10
117,1.16,0.773333,39.5,1189.13,508.528,1496.01,10
118,1.17,0.78,40,1204.09,520.494,1496.01,10
119,1.18,0.786667,40.5,1219.06,532.61,1496.01,10
120,1.19,0.793333,41,1234.02,544.875,1496.01,10
121,1.2,0.8,41.5,1248.98,557.29,1496.01,10
122,1.21,0.806667,42,1263.94,569.855,1496.01,10
123,1.22,0.813333,42.5,1278.9,582.569,1496.01,10
124,1.23,0.82,43,1293.86,595.433,1496.01,10
125,1.24,0.826667,43.5,1308.82,608.446,1496.01,10
126,1.25,0.833333,44,1323.78,621.609,1496.01,10
127,1.26,0.84,44.5,1338.74,634.921,1496.01,10
128,1.27,0.846667,45,1353.7,648.384,1496.01,10
129,1.28,0.853333,45.5,1368.66,661.995,1496.01,10
130,1.29,0.86,46,1383.62,675.757,1496.01,10
131,1.3,0.866667,46.5,1398.58,689.668,1496.01,10
132,1.31,0.873333,47,1413.54,703.728,1496.01,10
133,1.32,0.88,47.5,1428.5,717.938,1496.01,10
134,1.33,0.886667,48,1443.46,732.298,1496.01,10
135,1.34,0.893333,48.5,1458.42,746.808,1496.01,10
136,1.35,0.9,49,1473.38,761.467,1496.01,10
137,1.36,0.906667,49.5,1488.34,776.275,1496.01,10
138,1.37,0.913333,50,1503.3,791.233,1496.01,10
139,1.38,0.92,50.5,1518.26,806.341,1496.01,10
140,1.39,0.926667,51,1533.22,821.598,1496.01,10
141,1.4,0.933333,51.5,1548.18,837.005,1496.01,10
142,1.41,0.94,52,1563.14,852.562,1496.01,10
143,1.42,0.946667,52.5,1578.1,868.268,1496.01,10
144,1.43,0.953333,53,1593.06,884.124,1496.01,10
145,1.44,0.96,53.5,1608.02,900.129,1496.01,10
146,1.45,0.966667,54,1622.98,916.284,1496.01,10
147,1.46,0.973333,54.5,1637.94,932.589,1496.01,10
148,1.47,0.98,55,1652.9,949.043,1496.01,10
149,1.48,0.986667,55.5,1667.86,965.647,1496.01,10
150,1.49,0.993333,56,1682.82,982.4,1496.01,10
151,1.5,1,56.5,1697.78,999.303,1496.01,10
152,1.51,1,56.9933,1712.35,1016.35,1456.65,10
153,1.52,1,57.48,1726.72,1033.55,1436.96,10
154,1.53,1,57.96,1740.89,1050.89,1417.28,10
